Frequenz,Ue,Ua,Phi,dB
10,1.011,0.999,0,-0.103713347300374
50,1.012,0.998,-0.5,-0.120999424328184
100,1.012,1,-0.8,-0.103610250075607
500,1.009,0.997,-3.2,-0.103920158505095
1.00E+03,1.006,0.992,-6.2,-0.121726171314599
2000,0.994,0.973,-13.1,-0.185470882579228
3000,0.976,0.943,-19.7,-0.298762498587268
5000,0.927,0.858,-32.6,-0.671848925915834
7000,0.878,0.764,-45,-1.20802314660825
1.00E+04,0.824,0.628,-62.1,-2.35935135919839
1.20E+04,0.803,0.549,-72.8,-3.30286401657178
1.30E+04,0.796,0.514,-77.5,-3.79899897484787
1.40E+04,0.793,0.482,-82,-4.32452298157509
1.45E+04,0.791,0.466,-84.3,-4.59581133615353
1.50E+04,0.791,0.451,-86.4,-4.87999883239432
1.56E+04,0.79,0.435,-88.9,-5.18275668671608
15700,0.79,0.431,-89.2,-5.2629964225942
1.60E+04,0.79,0.423,-90.4,-5.42573447830798
1.70E+04,0.792,0.398,-94.1,-5.97684219031611
2.00E+04,0.801,0.333,-104.1,-7.62376565155836
3.00E+04,0.853,0.195,-126.3,-12.8182883961001
5.00E+04,0.93,0.087,-146.8,-20.5792739187063
7.00E+04,0.967,0.048,-156,-26.0837047341483
1.00E+05,0.993,0.025,-162.5,-31.9801847964669
1.50E+05,1.009,0.012,-170,-38.4941984037857
1.00E+06,1.03,0.003,-180,-50.7143193997102
