Frequenz,dB
10,-0.112412286072598
50,-0.112412286072598
100,-0.129836343346046
200,-0.208680058427286
300,-0.306953836823091
500,-0.655002988050525
700,-1.14868968226556
800,-1.42339271938537
900,-1.71012069504751
1000,-2.00391978910568
1.20E+03,-2.63125146853767
1500,-3.60139113875433
1700,-4.21044948530111
2.00E+03,-5.13738355582203
5.00E+03,-11.7419602557041
7.00E+03,-14.4684853515593
1.00E+04,-17.4206754821731
1.56E+04,-21.2049605456382
2.00E+04,-23.3086638174725
3.00E+04,-26.8394759519363
5.00E+04,-31.1260500153457
7.00E+04,-34.1782532794689
1.00E+05,-37.5986712526875
1.50E+05,-40.871611426128
2.00E+05,-44.4369749923271
5.00E+05,-50.6295783408451
1.00E+06,-50.7143193997102
