Frequenz,dB
10,-0.09502311182002
50,-0.103610250075607
100,-0.103610250075607
500,-0.09502311182002
1000,-0.086427475652852
2000,0.042978265015479
3000,0.222288834840296
5000,0.819792552109734
7000,1.77232370784911
1.00E+04,4.20718762033632
1.20E+04,6.86068726584404
1.30E+04,8.73623197511761
1.40E+04,10.6860311169001
1.45E+04,11.6211669093937
1.50E+04,12.1847715191017
1.52E+04,12.2882085942878
1.55E+04,12.3234840078635
15580,12.1384672443333
15700,12.1253096572068
1.60E+04,11.7819002832719
1.70E+04,9.68671229331102
2.00E+04,2.98369448364713
3.00E+04,-8.47455240999373
5.00E+04,-18.8578693023354
7.00E+04,-25.5144826079842
1.00E+05,-31.4763349668959
1.00E+06,-54.2445733923907
